ext_id,source_text,source_sub,cand1_id,cand1_text,cand2_id,cand2_text,cand3_id,cand3_text
dewiki:npov:11,All presented viewpoints must be attributable to a reliable source.,Alle dargestellten Standpunkte müssen sich einer zuverlässigen Quelle zuordnen lassen.,enwiki:npov:55,"If a viewpoint is in the majority, it should be easy to substantiate with references to commonly accepted reference texts.",enwiki:npov:41,Editors should watch for structural or stylistic aspects that make it difficult for a reader to fairly assess the credibility of all relevant viewpoints.,enwiki:npov:31,Reporting of different views must adequately reflect their relative levels of support and must not give a false impression of parity or undue weight to a particular view.
dewiki:npov:12,The views of the majority must be presented appropriately.,Die Ansichten der Mehrheit müssen angemessen dargestellt werden.,enwiki:npov:49,The majority view should be explained sufficiently for the reader to understand how the minority view differs from it.,enwiki:npov:50,Controversies regarding aspects of a minority view should be clearly identified and explained.,enwiki:npov:31,Reporting of different views must adequately reflect their relative levels of support and must not give a false impression of parity or undue weight to a particular view.
dewiki:npov:13,"The opinions of minorities must be given a voice, provided a reliable source can be found for them.","Die Meinungen von Minderheiten müssen zu Wort kommen, sofern sich dafür eine zuverlässige Quelle finden lässt.",enwiki:npov:50,Controversies regarding aspects of a minority view should be clearly identified and explained.,enwiki:npov:16,"Significant opinions should not be stated in Wikipedia's voice but should be attributed in the text to particular sources, or where justified described as widespread views.",enwiki:npov:48,In a minority-viewpoint article it should always be clear which parts of the text describe the minority view.
dewiki:npov:14,The description shall have a neutral tone.,Die Beschreibung soll einen neutralen Ton haben.,enwiki:npov:33,"Instead of removing biased-seeming sourced material, editors should try to rewrite the passage or section to achieve a more neutral tone.",enwiki:npov:98,A neutral characterization of disputes requires presenting viewpoints with a consistently impartial tone.,enwiki:npov:26,Editors should present opinions and conflicting findings in a disinterested tone.
dewiki:npov:15,The share of each viewpoint in the overall extent shall reflect its respective relevance.,Der Anteil der einzelnen Standpunkte am Gesamtumfang soll ihre jeweilige Relevanz widerspiegeln.,enwiki:npov:46,"In articles specifically about a minority viewpoint, that view may receive more attention and space.",enwiki:npov:47,Minority-viewpoint articles must still appropriately reference the majority viewpoint wherever relevant and must not present content strictly from the minority view's perspective.,enwiki:npov:55,"If a viewpoint is in the majority, it should be easy to substantiate with references to commonly accepted reference texts."
dewiki:npov:16,Text should not be removed merely because it presents a dissenting opinion.,"Text soll nicht entfernt werden, nur weil er eine abweichende Meinung darstellt.",enwiki:npov:33,"Instead of removing biased-seeming sourced material, editors should try to rewrite the passage or section to achieve a more neutral tone.",enwiki:npov:105,Biased statements of opinion may be presented only with in-text attribution.,enwiki:npov:19,Editors should avoid stating facts as opinions.
dewiki:npov:17,"Text should, where applicable, be shortened or moved to a sub-article if an opinion would otherwise be given disproportionate weight.","Text soll gegebenenfalls gekürzt oder in einen Unterartikel ausgelagert werden, wenn einer Meinung sonst überproportional viel Gewicht gegeben würde.",enwiki:npov:67,An article should not give undue weight to minor aspects of its subject but should treat each aspect with weight proportional to its treatment in reliable published material.,enwiki:npov:43,Articles should not give minority views or aspects as much or as detailed a description as more widely held views.,enwiki:npov:89,"All facts and significant points of view on a subject should be treated in one article, except in the case of a legitimate spinoff sub-article."
dewiki:npov:18,Neutrality requires that viewpoints be presented in an unbiased manner.,"Neutralität verlangt, dass die Standpunkte unvoreingenommen dargestellt werden.",enwiki:npov:61,Neutrality assigns weight to viewpoints in proportion to their prominence in reliable sources.,enwiki:npov:42,"Neutrality requires that mainspace articles fairly represent all significant viewpoints published by reliable sources, in proportion to each viewpoint's prominence in those sources.",enwiki:npov:10,"Achieving neutrality requires carefully and critically analyzing a variety of reliable sources and conveying their information to the reader fairly, proportionately, and as far as possible without editorial bias."
dewiki:npov:19,"It shall be made clear that disagreements exist, rather than pretending the sources are unbiased.","Es soll verdeutlicht werden, dass es Meinungsverschiedenheiten gibt (statt so zu tun, als seien die Quellen unvoreingenommen).",enwiki:npov:76,"Neutrality should be achieved by balancing source bias according to the weight of opinion in reliable sources, not by excluding sources that do not conform to the editor's point of view.",enwiki:npov:18,"When reliable sources make conflicting assertions about a matter, treat those assertions as opinions rather than facts and do not present them as direct statements in Wikipedia's voice.",enwiki:npov:75,"Biased sources are not inherently disallowed on the basis of bias alone, though other aspects of a source may make it invalid."
dewiki:npov:20,The factual basis of articles fundamentally derives from published information sources.,Die Faktenbasis von Artikeln stammt grundsätzlich aus veröffentlichten Informationsquellen.,enwiki:npov:73,"In principle, all articles should be based on reliable, independent, secondary published sources with a reputation for fact-checking and accuracy.",enwiki:npov:18,"When reliable sources make conflicting assertions about a matter, treat those assertions as opinions rather than facts and do not present them as direct statements in Wikipedia's voice.",enwiki:npov:20,Uncontested and uncontroversial factual assertions made by reliable sources should normally be stated directly in Wikipedia's voice.
dewiki:npov:21,Presentations or viewpoints for which no reliable source exists constitute unwanted original research.,Darstellungen oder Standpunkte ohne zuverlässige Informationsquelle sind unerwünschte Theoriefindung.,enwiki:npov:64,"Minority views, fringe theories, and extraordinary claims need not be presented alongside mainstream scholarship as if they were of equal validity.",enwiki:npov:32,Editors should generally not remove sourced information solely because it seems biased.,enwiki:npov:77,A biased source need not be used; excluding the material altogether may serve an article better.
dewiki:npov:22,A balanced article describes the subject of the entry and subsequently the differing viewpoints connected to it.,Ein ausgewogener Artikel beschreibt den Gegenstand des Lemmas und danach die damit verbundenen unterschiedlichen Standpunkte.,enwiki:npov:63,Working for balance involves describing opposing views clearly and drawing on secondary or tertiary sources that describe the disagreement from a disinterested viewpoint.,enwiki:npov:47,Minority-viewpoint articles must still appropriately reference the majority viewpoint wherever relevant and must not present content strictly from the minority view's perspective.,enwiki:npov:48,In a minority-viewpoint article it should always be clear which parts of the text describe the minority view.
dewiki:npov:23,Several different or contradictory viewpoints may be described in one article.,Mehrere verschiedene oder einander widersprechende Standpunkte können in einem Artikel beschrieben werden.,enwiki:npov:48,In a minority-viewpoint article it should always be clear which parts of the text describe the minority view.,enwiki:npov:43,Articles should not give minority views or aspects as much or as detailed a description as more widely held views.,enwiki:npov:47,Minority-viewpoint articles must still appropriately reference the majority viewpoint wherever relevant and must not present content strictly from the minority view's perspective.
dewiki:npov:24,The acceptance of the various presentations shall be clearly indicated.,Die Akzeptanz der verschiedenen Darstellungen soll klar dargestellt werden.,enwiki:npov:37,"Specific article structures are not as a rule prohibited, but care must be taken to ensure the overall presentation is broadly neutral.",enwiki:npov:72,"An assumption need not be discussed on a page if it is best discussed in depth on another page, though a brief unobtrusive pointer or wikilink may be appropriate.",enwiki:npov:101,"It is appropriate to note how an artist or work has been received by prominent experts, critics, and the general public."
dewiki:npov:25,Appropriate presentation of the subject and arguments takes precedence over the aim of giving competing viewpoints equal extent.,"Die angemessene Darstellung des Lemmas und der Argumente hat Vorrang vor dem Bestreben, konkurrierende Sichtweisen in gleichem Umfang wiederzugeben.",enwiki:npov:98,A neutral characterization of disputes requires presenting viewpoints with a consistently impartial tone.,enwiki:npov:47,Minority-viewpoint articles must still appropriately reference the majority viewpoint wherever relevant and must not present content strictly from the minority view's perspective.,enwiki:npov:39,Editors should fold debates into the narrative rather than isolating them into opposing sections.
dewiki:npov:26,"Ideally, all known viewpoints currently held by relevant social groups, organizations, and authoritative scholars of a field are to be mentioned.","Im besten Fall sind alle bekannten Standpunkte zu erwähnen, die von relevanten Gruppen, Organisationen und maßgeblichen Wissenschaftlern aktuell vertreten werden.",enwiki:npov:55,"If a viewpoint is in the majority, it should be easy to substantiate with references to commonly accepted reference texts.",enwiki:npov:82,An explanation of how experts in the relevant field have reacted to fringe or pseudoscientific views should be prominently included.,enwiki:npov:56,"If a viewpoint is held by a significant minority, it should be easy to name prominent adherents."
dewiki:npov:27,Scientific findings must not be relativized by the mere juxtaposition of different opinions.,Wissenschaftliche Erkenntnisse dürfen nicht durch bloße Aneinanderreihung verschiedener Meinungen relativiert werden.,enwiki:npov:78,"When covering pseudoscientific topics, editors should not describe pseudoscience and scientific consensus as equal viewpoints.",enwiki:npov:79,"Pseudoscience should not obfuscate the description of mainstream scientific views, even when it is significant to an article.",enwiki:npov:64,"Minority views, fringe theories, and extraordinary claims need not be presented alongside mainstream scholarship as if they were of equal validity."
dewiki:npov:28,"An encyclopedic article is to be written in a consistently factual-neutral, i.e. non-emotionally-colored, tone.","Ein enzyklopädischer Artikel ist durchgehend in sachlich-neutralem, nicht emotional gefärbtem Ton zu verfassen.",enwiki:npov:4,All encyclopedic content on Wikipedia must be written from a neutral point of view.,enwiki:npov:102,An article should not state an aesthetic judgment (e.g. that Shakespeare is the greatest author) in Wikipedia's voice.,enwiki:npov:99,"The tone of Wikipedia articles should be impartial, neither endorsing nor rejecting a particular point of view."
dewiki:npov:29,An encyclopedic article refrains from taking a position for or against viewpoints.,"Ein enzyklopädischer Artikel enthält sich, für oder gegen Standpunkte Stellung zu beziehen.",enwiki:npov:99,"The tone of Wikipedia articles should be impartial, neither endorsing nor rejecting a particular point of view.",enwiki:npov:57,"A viewpoint held by an extremely small minority does not belong on Wikipedia regardless of its truth or provability, except perhaps in an ancillary article.",enwiki:npov:43,Articles should not give minority views or aspects as much or as detailed a description as more widely held views.
dewiki:npov:30,"Viewpoints must be presented neither with undue emphasis, nor apodictically, nor with evasive phrasing.",Standpunkte dürfen weder ungebührlich akzentuiert noch apodiktisch noch mit ausweichenden Formulierungen dargestellt werden.,enwiki:npov:24,A neutral point of view neither sympathizes with nor disparages its subject or what reliable sources say about it.,enwiki:npov:52,Views held by a tiny minority should not be represented except in articles devoted to those views.,enwiki:npov:31,Reporting of different views must adequately reflect their relative levels of support and must not give a false impression of parity or undue weight to a particular view.
dewiki:npov:31,Personal interests must never determine the content of articles.,Persönliche Interessen dürfen nie den Inhalt von Artikeln bestimmen.,enwiki:npov:43,Articles should not give minority views or aspects as much or as detailed a description as more widely held views.,enwiki:npov:12,"The aim of a Wikipedia article is to inform, not to influence.",enwiki:npov:99,"The tone of Wikipedia articles should be impartial, neither endorsing nor rejecting a particular point of view."
dewiki:npov:32,"Authors shall always act value-free and without partiality (""sine ira et studio"").",Autoren sollen stets wertfrei und ohne Parteilichkeit agieren.,enwiki:npov:27,Editors must not editorialize.,enwiki:npov:13,Editors should strive in good faith to provide complete information and not to promote one particular point of view over another.,enwiki:npov:32,Editors should generally not remove sourced information solely because it seems biased.
dewiki:npov:33,Obvious facts may be presented as such in articles.,Offenkundige Tatsachen können in Artikeln als solche dargestellt werden.,enwiki:npov:89,"All facts and significant points of view on a subject should be treated in one article, except in the case of a legitimate spinoff sub-article.",enwiki:npov:2,"Articles should explain the sides, fairly and without editorial bias.",enwiki:npov:106,A statement of opinion must not be asserted in Wikipedia as if it were a fact.
dewiki:npov:34,Value judgments must in every case be separated from generally accepted facts and marked as such.,Urteile müssen in jedem Fall von allgemein akzeptierten Tatsachen getrennt und als solche ausgewiesen werden.,enwiki:npov:98,A neutral characterization of disputes requires presenting viewpoints with a consistently impartial tone.,enwiki:npov:31,Reporting of different views must adequately reflect their relative levels of support and must not give a false impression of parity or undue weight to a particular view.,enwiki:npov:62,"When reputable sources contradict one another and are relatively equal in prominence, editors should describe both points of view and work for balance."
dewiki:npov:35,Value judgments must be strictly attributed to the person making them.,Werturteile müssen zwingend dem Urteilenden zugeordnet werden.,enwiki:npov:107,Opinions presented with attribution must still be verifiable and appropriately cited.,enwiki:npov:62,"When reputable sources contradict one another and are relatively equal in prominence, editors should describe both points of view and work for balance.",enwiki:npov:75,"Biased sources are not inherently disallowed on the basis of bias alone, though other aspects of a source may make it invalid."
dewiki:npov:36,Wikipedia authors shall never make value judgments themselves.,Wikipedia-Autoren sollen niemals selbst urteilen.,enwiki:npov:99,"The tone of Wikipedia articles should be impartial, neither endorsing nor rejecting a particular point of view.",enwiki:npov:12,"The aim of a Wikipedia article is to inform, not to influence.",enwiki:npov:51,Wikipedia should not present a dispute as if a small-minority view is as significant as the majority view.
dewiki:npov:37,Especially for controversial topics it is important to attribute viewpoints.,"Besonders bei umstrittenen Themen ist es wichtig, Standpunkte zuzuordnen.",enwiki:npov:47,Minority-viewpoint articles must still appropriately reference the majority viewpoint wherever relevant and must not present content strictly from the minority view's perspective.,enwiki:npov:55,"If a viewpoint is in the majority, it should be easy to substantiate with references to commonly accepted reference texts.",enwiki:npov:30,Editors should indicate the relative prominence of opposing views.
dewiki:npov:38,Particularly pointed opinions may be quoted verbatim.,Besonders prägnante Meinungen können wörtlich zitiert werden.,enwiki:npov:16,"Significant opinions should not be stated in Wikipedia's voice but should be attributed in the text to particular sources, or where justified described as widespread views.",enwiki:npov:55,"If a viewpoint is in the majority, it should be easy to substantiate with references to commonly accepted reference texts.",enwiki:npov:105,Biased statements of opinion may be presented only with in-text attribution.
dewiki:npov:39,Opinions are to be reproduced exactly and placed into their respective context.,Meinungen sind exakt wiederzugeben und in den jeweiligen Zusammenhang einzuordnen.,enwiki:npov:107,Opinions presented with attribution must still be verifiable and appropriately cited.,enwiki:npov:16,"Significant opinions should not be stated in Wikipedia's voice but should be attributed in the text to particular sources, or where justified described as widespread views.",enwiki:npov:19,Editors should avoid stating facts as opinions.
dewiki:npov:40,All authoritative viewpoints must be represented; no hidden value judgment through selection or weighting of individual viewpoints.,Alle maßgeblichen Standpunkte müssen repräsentiert werden; kein verstecktes Werturteil durch Auswahl oder Gewichtung einzelner Sichtweisen.,enwiki:npov:31,Reporting of different views must adequately reflect their relative levels of support and must not give a false impression of parity or undue weight to a particular view.,enwiki:npov:61,Neutrality assigns weight to viewpoints in proportion to their prominence in reliable sources.,enwiki:npov:55,"If a viewpoint is in the majority, it should be easy to substantiate with references to commonly accepted reference texts."
dewiki:npov:41,Significant evaluations must be presented in a balanced manner.,Bedeutsame Wertungen müssen ausgewogen dargestellt werden.,enwiki:npov:31,Reporting of different views must adequately reflect their relative levels of support and must not give a false impression of parity or undue weight to a particular view.,enwiki:npov:62,"When reputable sources contradict one another and are relatively equal in prominence, editors should describe both points of view and work for balance.",enwiki:npov:63,Working for balance involves describing opposing views clearly and drawing on secondary or tertiary sources that describe the disagreement from a disinterested viewpoint.
dewiki:npov:42,No (implicit) evaluation may be made through word choice.,In der Wortwahl darf keine (implizite) Wertung vorgenommen werden.,enwiki:npov:25,The preference for nonjudgmental language must sometimes be balanced against clarity.,enwiki:npov:86,Editors should not avoid terminology established by the majority of reliable sources out of sympathy for a point of view or fear that readers may confuse formal and informal meanings.,enwiki:npov:105,Biased statements of opinion may be presented only with in-text attribution.
dewiki:npov:43,"Authors should not, in the style of an essay, argumentatively lay out their own viewpoint.",Autoren sollen nicht im Stil einer Erörterung einen eigenen Standpunkt argumentativ darlegen.,enwiki:npov:41,Editors should watch for structural or stylistic aspects that make it difficult for a reader to fairly assess the credibility of all relevant viewpoints.,enwiki:npov:100,"Editors should avoid quoting directly from participants in a heated dispute and instead summarize and present the arguments in an impartial, formal tone.",enwiki:npov:19,Editors should avoid stating facts as opinions.
dewiki:npov:44,Separating arguments into pro/con lists is not a suitable form of presentation.,Eine Trennung der Argumente in Pro- und Kontralisten ist keine geeignete Form der Darstellung.,enwiki:npov:100,"Editors should avoid quoting directly from participants in a heated dispute and instead summarize and present the arguments in an impartial, formal tone.",enwiki:npov:37,"Specific article structures are not as a rule prohibited, but care must be taken to ensure the overall presentation is broadly neutral.",enwiki:npov:98,A neutral characterization of disputes requires presenting viewpoints with a consistently impartial tone.
dewiki:npov:45,"Self-promotion by authorities, institutions, parties, companies, persons, etc. aimed merely at external image is expressly unwanted.","Die auf Außenwirkung bedachte Selbstdarstellung von Behörden, Institutionen, Parteien, Unternehmen, Personen etc. ist ausdrücklich unerwünscht.",enwiki:npov:12,"The aim of a Wikipedia article is to inform, not to influence.",enwiki:npov:13,Editors should strive in good faith to provide complete information and not to promote one particular point of view over another.,enwiki:npov:30,Editors should indicate the relative prominence of opposing views.
dewiki:npov:46,"Likewise unwanted are presentations aimed at damaging third parties' reputations through false claims, rumors, speculation, or distorting quote selection.","Ebenso unerwünscht sind Darstellungen, die die Rufschädigung Dritter durch falsche Tatsachenbehauptungen, Gerüchte, Spekulationen oder sinnentstellende Zitatwahl bezwecken.",enwiki:npov:112,"Editors should strive to eliminate expressions that are flattering, disparaging, vague, clichéd, or that endorse a particular point of view, unless part of a quote from a noteworthy source.",enwiki:npov:32,Editors should generally not remove sourced information solely because it seems biased.,enwiki:npov:100,"Editors should avoid quoting directly from participants in a heated dispute and instead summarize and present the arguments in an impartial, formal tone."
dewiki:npov:47,Such behavior can be sanctioned with a block.,Solches Verhalten kann mit einer Sperre geahndet werden.,enwiki:npov:37,"Specific article structures are not as a rule prohibited, but care must be taken to ensure the overall presentation is broadly neutral.",enwiki:npov:36,The internal structure of an article may require additional attention to protect neutrality and avoid problems like POV forking and undue weight.,enwiki:npov:8,The three core content policies cannot be interpreted in isolation from one another.
dewiki:npov:48,A dissenting stance held by only a few must not be presented at the same extent as established positions.,Eine von wenigen anerkannte abweichende Haltung darf nicht in gleichem Umfang wie etablierte Positionen dargestellt werden.,enwiki:npov:52,Views held by a tiny minority should not be represented except in articles devoted to those views.,enwiki:npov:31,Reporting of different views must adequately reflect their relative levels of support and must not give a false impression of parity or undue weight to a particular view.,enwiki:npov:64,"Minority views, fringe theories, and extraordinary claims need not be presented alongside mainstream scholarship as if they were of equal validity."
dewiki:npov:49,"When minority opinions have historical weight through frequent public discussion, they are to be mentioned to an appropriate extent.","Wenn Minderheitenmeinungen historisches Gewicht durch häufige öffentliche Diskussion haben, sind sie in angemessenem Umfang zu erwähnen.",enwiki:npov:50,Controversies regarding aspects of a minority view should be clearly identified and explained.,enwiki:npov:56,"If a viewpoint is held by a significant minority, it should be easy to name prominent adherents.",enwiki:npov:16,"Significant opinions should not be stated in Wikipedia's voice but should be attributed in the text to particular sources, or where justified described as widespread views."
dewiki:npov:50,Even a single word can destroy factuality and turn a sentence into a tendentious statement.,Bereits ein einzelnes Wort kann die Sachlichkeit zerstören und einen Satz tendenziös machen.,enwiki:npov:111,"Editors should try to state facts simply, without using loaded words that imply doubt.",enwiki:npov:17,Editors should avoid stating seriously contested assertions as facts.,enwiki:npov:108,Editors should avoid rephrasing biased or opinion statements with weasel words.
dewiki:npov:51,"Relative words like ""well-known"", ""famous"", ""significant"" should be used comprehensibly and purposefully, not promotionally or as filler.","Relative Wörter wie „bekannt“, „berühmt“, „bedeutend“ sollen nachvollziehbar und gezielt, nicht werbend oder als Füllwörter eingesetzt werden.",enwiki:npov:92,A name widely used in reliable sources and likely to be well recognized by readers may be used even if some regard it as biased.,enwiki:npov:16,"Significant opinions should not be stated in Wikipedia's voice but should be attributed in the text to particular sources, or where justified described as widespread views.",enwiki:npov:101,"It is appropriate to note how an artist or work has been received by prominent experts, critics, and the general public."
dewiki:npov:52,"The article should make clear for what and among which audience the subject is well-known, famous, significant, etc.","Aus dem Artikel soll hervorgehen, wofür und bei welchem Publikum das Beschriebene bekannt, berühmt, bedeutend usw. ist.",enwiki:npov:68,"In addition to describing why a subject is notable, encyclopedia articles should place the subject in context.",enwiki:npov:89,"All facts and significant points of view on a subject should be treated in one article, except in the case of a legitimate spinoff sub-article.",enwiki:npov:69,"An article about a person should always indicate, at least generally, when and where they lived."
dewiki:npov:53,"Labeling linguistic expressions as ""wrong"" violates the neutral point of view.",Die Bezeichnung sprachlicher Ausdrücke als „falsch“ verstößt gegen den neutralen Standpunkt.,enwiki:npov:86,Editors should not avoid terminology established by the majority of reliable sources out of sympathy for a point of view or fear that readers may confuse formal and informal meanings.,enwiki:npov:108,Editors should avoid rephrasing biased or opinion statements with weasel words.,enwiki:npov:24,A neutral point of view neither sympathizes with nor disparages its subject or what reliable sources say about it.
dewiki:npov:54,"Labels such as ""colloquial"" or ""outdated"" must not be assigned at one's own discretion but require backing by linguistic scholarly literature.","Einordnungen wie „umgangssprachlich“ oder „veraltet“ dürfen nicht nach eigenem Ermessen erfolgen, sondern bedürfen der Absicherung durch sprachwissenschaftliche Fachliteratur.",enwiki:npov:92,A name widely used in reliable sources and likely to be well recognized by readers may be used even if some regard it as biased.,enwiki:npov:86,Editors should not avoid terminology established by the majority of reliable sources out of sympathy for a point of view or fear that readers may confuse formal and informal meanings.,enwiki:npov:55,"If a viewpoint is in the majority, it should be easy to substantiate with references to commonly accepted reference texts."
dewiki:npov:55,"It is advisable to first present the undisputed aspects and then, in a separate section, the reception from the perspective of relevant actors.","Es empfiehlt sich, zunächst die unumstrittenen Aspekte und danach in einem separaten Abschnitt die Rezeption aus Sicht der relevanten Akteure darzustellen.",enwiki:npov:41,Editors should watch for structural or stylistic aspects that make it difficult for a reader to fairly assess the credibility of all relevant viewpoints.,enwiki:npov:40,"Editors should attend to headers, footnotes, and other formatting elements that might unduly favor one point of view or aspect of the subject.",enwiki:npov:101,"It is appropriate to note how an artist or work has been received by prominent experts, critics, and the general public."
dewiki:npov:56,The reception section should encompass not only negative assessments but all relevant voices.,"Der Rezeptionsabschnitt soll nicht nur negative Beurteilungen, sondern alle relevanten Stimmen umfassen.",enwiki:npov:31,Reporting of different views must adequately reflect their relative levels of support and must not give a false impression of parity or undue weight to a particular view.,enwiki:npov:33,"Instead of removing biased-seeming sourced material, editors should try to rewrite the passage or section to achieve a more neutral tone.",enwiki:npov:24,A neutral point of view neither sympathizes with nor disparages its subject or what reliable sources say about it.
dewiki:npov:57,Whoever cites a statistic should always add a source reference.,"Wer eine Statistik anführt, soll immer eine Quellenangabe beifügen.",enwiki:npov:77,A biased source need not be used; excluding the material altogether may serve an article better.,enwiki:npov:55,"If a viewpoint is in the majority, it should be easy to substantiate with references to commonly accepted reference texts.",enwiki:npov:29,The only bias that should be evident in an article is bias attributed to the source.
dewiki:npov:58,An article is not made more neutral by shortening the opposing viewpoint.,"Ein Artikel wird nicht dadurch neutraler, dass man den Gegenstandpunkt kürzt.",enwiki:npov:1,Articles must not take sides.,enwiki:npov:2,"Articles should explain the sides, fairly and without editorial bias.",enwiki:npov:42,"Neutrality requires that mainspace articles fairly represent all significant viewpoints published by reliable sources, in proportion to each viewpoint's prominence in those sources."
dewiki:npov:59,"Instead, one should work toward better substantiating and elaborating the inadequately explained viewpoint.","Stattdessen soll darauf hingewirkt werden, dass der ungenau erklärte Standpunkt besser begründet und ausformuliert wird.",enwiki:npov:49,The majority view should be explained sufficiently for the reader to understand how the minority view differs from it.,enwiki:npov:30,Editors should indicate the relative prominence of opposing views.,enwiki:npov:62,"When reputable sources contradict one another and are relatively equal in prominence, editors should describe both points of view and work for balance."
dewiki:npov:60,Particularly vulnerable and disputed articles should be listed on the watchlist candidates page.,Besonders gefährdete und umstrittene Artikel sollen auf Beobachtungskandidaten verlinkt werden.,enwiki:npov:77,A biased source need not be used; excluding the material altogether may serve an article better.,enwiki:npov:2,"Articles should explain the sides, fairly and without editorial bias.",enwiki:npov:73,"In principle, all articles should be based on reliable, independent, secondary published sources with a reputation for fact-checking and accuracy."
