src_id,de_statement,rank,cand_id,cand_score,cand_statement
dewiki:npov:29,An encyclopedic article refrains from taking a position for or against viewpoints.,2,enwiki:npov:57,0.594,"A viewpoint held by an extremely small minority does not belong on Wikipedia regardless of its truth or provability, except perhaps in an ancillary article."
dewiki:npov:29,An encyclopedic article refrains from taking a position for or against viewpoints.,3,enwiki:npov:43,0.593,Articles should not give minority views or aspects as much or as detailed a description as more widely held views.
dewiki:npov:30,"Viewpoints must be presented neither with undue emphasis, nor apodictically, nor with evasive phrasing.",2,enwiki:npov:52,0.552,Views held by a tiny minority should not be represented except in articles devoted to those views.
dewiki:npov:30,"Viewpoints must be presented neither with undue emphasis, nor apodictically, nor with evasive phrasing.",3,enwiki:npov:31,0.545,Reporting of different views must adequately reflect their relative levels of support and must not give a false impression of parity or undue weight to a particular view.
dewiki:npov:31,Personal interests must never determine the content of articles.,2,enwiki:npov:12,0.542,"The aim of a Wikipedia article is to inform, not to influence."
dewiki:npov:31,Personal interests must never determine the content of articles.,3,enwiki:npov:99,0.526,"The tone of Wikipedia articles should be impartial, neither endorsing nor rejecting a particular point of view."
dewiki:npov:32,"Authors shall always act value-free and without partiality (""sine ira et studio"").",2,enwiki:npov:13,0.440,Editors should strive in good faith to provide complete information and not to promote one particular point of view over another.
dewiki:npov:32,"Authors shall always act value-free and without partiality (""sine ira et studio"").",3,enwiki:npov:32,0.403,Editors should generally not remove sourced information solely because it seems biased.
dewiki:npov:33,Obvious facts may be presented as such in articles.,2,enwiki:npov:2,0.589,"Articles should explain the sides, fairly and without editorial bias."
dewiki:npov:33,Obvious facts may be presented as such in articles.,3,enwiki:npov:106,0.571,A statement of opinion must not be asserted in Wikipedia as if it were a fact.
dewiki:npov:34,Value judgments must in every case be separated from generally accepted facts and marked as such.,2,enwiki:npov:31,0.466,Reporting of different views must adequately reflect their relative levels of support and must not give a false impression of parity or undue weight to a particular view.
dewiki:npov:34,Value judgments must in every case be separated from generally accepted facts and marked as such.,3,enwiki:npov:62,0.462,"When reputable sources contradict one another and are relatively equal in prominence, editors should describe both points of view and work for balance."
dewiki:npov:35,Value judgments must be strictly attributed to the person making them.,2,enwiki:npov:62,0.484,"When reputable sources contradict one another and are relatively equal in prominence, editors should describe both points of view and work for balance."
dewiki:npov:35,Value judgments must be strictly attributed to the person making them.,3,enwiki:npov:75,0.460,"Biased sources are not inherently disallowed on the basis of bias alone, though other aspects of a source may make it invalid."
dewiki:npov:36,Wikipedia authors shall never make value judgments themselves.,2,enwiki:npov:12,0.581,"The aim of a Wikipedia article is to inform, not to influence."
dewiki:npov:36,Wikipedia authors shall never make value judgments themselves.,3,enwiki:npov:51,0.566,Wikipedia should not present a dispute as if a small-minority view is as significant as the majority view.
dewiki:npov:37,Especially for controversial topics it is important to attribute viewpoints.,2,enwiki:npov:55,0.589,"If a viewpoint is in the majority, it should be easy to substantiate with references to commonly accepted reference texts."
dewiki:npov:37,Especially for controversial topics it is important to attribute viewpoints.,3,enwiki:npov:30,0.587,Editors should indicate the relative prominence of opposing views.
dewiki:npov:38,Particularly pointed opinions may be quoted verbatim.,2,enwiki:npov:55,0.565,"If a viewpoint is in the majority, it should be easy to substantiate with references to commonly accepted reference texts."
dewiki:npov:38,Particularly pointed opinions may be quoted verbatim.,3,enwiki:npov:105,0.548,Biased statements of opinion may be presented only with in-text attribution.
dewiki:npov:39,Opinions are to be reproduced exactly and placed into their respective context.,2,enwiki:npov:16,0.568,"Significant opinions should not be stated in Wikipedia's voice but should be attributed in the text to particular sources, or where justified described as widespread views."
dewiki:npov:39,Opinions are to be reproduced exactly and placed into their respective context.,3,enwiki:npov:19,0.534,Editors should avoid stating facts as opinions.
dewiki:npov:40,All authoritative viewpoints must be represented; no hidden value judgment through selection or weighting of individual viewpoints.,2,enwiki:npov:61,0.565,Neutrality assigns weight to viewpoints in proportion to their prominence in reliable sources.
dewiki:npov:40,All authoritative viewpoints must be represented; no hidden value judgment through selection or weighting of individual viewpoints.,3,enwiki:npov:55,0.563,"If a viewpoint is in the majority, it should be easy to substantiate with references to commonly accepted reference texts."
dewiki:npov:41,Significant evaluations must be presented in a balanced manner.,2,enwiki:npov:62,0.503,"When reputable sources contradict one another and are relatively equal in prominence, editors should describe both points of view and work for balance."
dewiki:npov:41,Significant evaluations must be presented in a balanced manner.,3,enwiki:npov:63,0.472,Working for balance involves describing opposing views clearly and drawing on secondary or tertiary sources that describe the disagreement from a disinterested viewpoint.
dewiki:npov:42,No (implicit) evaluation may be made through word choice.,2,enwiki:npov:86,0.367,Editors should not avoid terminology established by the majority of reliable sources out of sympathy for a point of view or fear that readers may confuse formal and informal meanings.
dewiki:npov:42,No (implicit) evaluation may be made through word choice.,3,enwiki:npov:105,0.362,Biased statements of opinion may be presented only with in-text attribution.
dewiki:npov:43,"Authors should not, in the style of an essay, argumentatively lay out their own viewpoint.",2,enwiki:npov:100,0.532,"Editors should avoid quoting directly from participants in a heated dispute and instead summarize and present the arguments in an impartial, formal tone."
dewiki:npov:43,"Authors should not, in the style of an essay, argumentatively lay out their own viewpoint.",3,enwiki:npov:19,0.513,Editors should avoid stating facts as opinions.
dewiki:npov:44,Separating arguments into pro/con lists is not a suitable form of presentation.,2,enwiki:npov:37,0.370,"Specific article structures are not as a rule prohibited, but care must be taken to ensure the overall presentation is broadly neutral."
dewiki:npov:44,Separating arguments into pro/con lists is not a suitable form of presentation.,3,enwiki:npov:98,0.364,A neutral characterization of disputes requires presenting viewpoints with a consistently impartial tone.
dewiki:npov:45,"Self-promotion by authorities, institutions, parties, companies, persons, etc. aimed merely at external image is expressly unwanted.",2,enwiki:npov:13,0.322,Editors should strive in good faith to provide complete information and not to promote one particular point of view over another.
dewiki:npov:45,"Self-promotion by authorities, institutions, parties, companies, persons, etc. aimed merely at external image is expressly unwanted.",3,enwiki:npov:30,0.290,Editors should indicate the relative prominence of opposing views.
dewiki:npov:46,"Likewise unwanted are presentations aimed at damaging third parties' reputations through false claims, rumors, speculation, or distorting quote selection.",2,enwiki:npov:32,0.459,Editors should generally not remove sourced information solely because it seems biased.
dewiki:npov:46,"Likewise unwanted are presentations aimed at damaging third parties' reputations through false claims, rumors, speculation, or distorting quote selection.",3,enwiki:npov:100,0.456,"Editors should avoid quoting directly from participants in a heated dispute and instead summarize and present the arguments in an impartial, formal tone."
dewiki:npov:47,Such behavior can be sanctioned with a block.,2,enwiki:npov:36,0.345,The internal structure of an article may require additional attention to protect neutrality and avoid problems like POV forking and undue weight.
dewiki:npov:47,Such behavior can be sanctioned with a block.,3,enwiki:npov:8,0.332,The three core content policies cannot be interpreted in isolation from one another.
dewiki:npov:48,A dissenting stance held by only a few must not be presented at the same extent as established positions.,2,enwiki:npov:31,0.512,Reporting of different views must adequately reflect their relative levels of support and must not give a false impression of parity or undue weight to a particular view.
dewiki:npov:48,A dissenting stance held by only a few must not be presented at the same extent as established positions.,3,enwiki:npov:64,0.500,"Minority views, fringe theories, and extraordinary claims need not be presented alongside mainstream scholarship as if they were of equal validity."
dewiki:npov:49,"When minority opinions have historical weight through frequent public discussion, they are to be mentioned to an appropriate extent.",2,enwiki:npov:56,0.613,"If a viewpoint is held by a significant minority, it should be easy to name prominent adherents."
dewiki:npov:49,"When minority opinions have historical weight through frequent public discussion, they are to be mentioned to an appropriate extent.",3,enwiki:npov:16,0.611,"Significant opinions should not be stated in Wikipedia's voice but should be attributed in the text to particular sources, or where justified described as widespread views."
dewiki:npov:50,Even a single word can destroy factuality and turn a sentence into a tendentious statement.,2,enwiki:npov:17,0.493,Editors should avoid stating seriously contested assertions as facts.
dewiki:npov:50,Even a single word can destroy factuality and turn a sentence into a tendentious statement.,3,enwiki:npov:108,0.490,Editors should avoid rephrasing biased or opinion statements with weasel words.
dewiki:npov:51,"Relative words like ""well-known"", ""famous"", ""significant"" should be used comprehensibly and purposefully, not promotionally or as filler.",2,enwiki:npov:16,0.449,"Significant opinions should not be stated in Wikipedia's voice but should be attributed in the text to particular sources, or where justified described as widespread views."
dewiki:npov:51,"Relative words like ""well-known"", ""famous"", ""significant"" should be used comprehensibly and purposefully, not promotionally or as filler.",3,enwiki:npov:101,0.436,"It is appropriate to note how an artist or work has been received by prominent experts, critics, and the general public."
dewiki:npov:52,"The article should make clear for what and among which audience the subject is well-known, famous, significant, etc.",2,enwiki:npov:89,0.590,"All facts and significant points of view on a subject should be treated in one article, except in the case of a legitimate spinoff sub-article."
dewiki:npov:52,"The article should make clear for what and among which audience the subject is well-known, famous, significant, etc.",3,enwiki:npov:69,0.565,"An article about a person should always indicate, at least generally, when and where they lived."
dewiki:npov:53,"Labeling linguistic expressions as ""wrong"" violates the neutral point of view.",2,enwiki:npov:108,0.464,Editors should avoid rephrasing biased or opinion statements with weasel words.
dewiki:npov:53,"Labeling linguistic expressions as ""wrong"" violates the neutral point of view.",3,enwiki:npov:24,0.455,A neutral point of view neither sympathizes with nor disparages its subject or what reliable sources say about it.
dewiki:npov:54,"Labels such as ""colloquial"" or ""outdated"" must not be assigned at one's own discretion but require backing by linguistic scholarly literature.",2,enwiki:npov:86,0.501,Editors should not avoid terminology established by the majority of reliable sources out of sympathy for a point of view or fear that readers may confuse formal and informal meanings.
dewiki:npov:54,"Labels such as ""colloquial"" or ""outdated"" must not be assigned at one's own discretion but require backing by linguistic scholarly literature.",3,enwiki:npov:55,0.458,"If a viewpoint is in the majority, it should be easy to substantiate with references to commonly accepted reference texts."
dewiki:npov:55,"It is advisable to first present the undisputed aspects and then, in a separate section, the reception from the perspective of relevant actors.",2,enwiki:npov:40,0.507,"Editors should attend to headers, footnotes, and other formatting elements that might unduly favor one point of view or aspect of the subject."
dewiki:npov:55,"It is advisable to first present the undisputed aspects and then, in a separate section, the reception from the perspective of relevant actors.",3,enwiki:npov:101,0.504,"It is appropriate to note how an artist or work has been received by prominent experts, critics, and the general public."
dewiki:npov:56,The reception section should encompass not only negative assessments but all relevant voices.,2,enwiki:npov:33,0.432,"Instead of removing biased-seeming sourced material, editors should try to rewrite the passage or section to achieve a more neutral tone."
dewiki:npov:56,The reception section should encompass not only negative assessments but all relevant voices.,3,enwiki:npov:24,0.428,A neutral point of view neither sympathizes with nor disparages its subject or what reliable sources say about it.
dewiki:npov:57,Whoever cites a statistic should always add a source reference.,2,enwiki:npov:55,0.452,"If a viewpoint is in the majority, it should be easy to substantiate with references to commonly accepted reference texts."
dewiki:npov:57,Whoever cites a statistic should always add a source reference.,3,enwiki:npov:29,0.444,The only bias that should be evident in an article is bias attributed to the source.
dewiki:npov:58,An article is not made more neutral by shortening the opposing viewpoint.,2,enwiki:npov:2,0.646,"Articles should explain the sides, fairly and without editorial bias."
dewiki:npov:58,An article is not made more neutral by shortening the opposing viewpoint.,3,enwiki:npov:42,0.631,"Neutrality requires that mainspace articles fairly represent all significant viewpoints published by reliable sources, in proportion to each viewpoint's prominence in those sources."
dewiki:npov:59,"Instead, one should work toward better substantiating and elaborating the inadequately explained viewpoint.",2,enwiki:npov:30,0.515,Editors should indicate the relative prominence of opposing views.
dewiki:npov:59,"Instead, one should work toward better substantiating and elaborating the inadequately explained viewpoint.",3,enwiki:npov:62,0.498,"When reputable sources contradict one another and are relatively equal in prominence, editors should describe both points of view and work for balance."
dewiki:npov:60,Particularly vulnerable and disputed articles should be listed on the watchlist candidates page.,2,enwiki:npov:2,0.466,"Articles should explain the sides, fairly and without editorial bias."
dewiki:npov:60,Particularly vulnerable and disputed articles should be listed on the watchlist candidates page.,3,enwiki:npov:73,0.438,"In principle, all articles should be based on reliable, independent, secondary published sources with a reputation for fact-checking and accuracy."
dewiki:npov:61,"As a first step, check the version history for how many people have worked on the text.",2,enwiki:npov:33,0.280,"Instead of removing biased-seeming sourced material, editors should try to rewrite the passage or section to achieve a more neutral tone."
dewiki:npov:61,"As a first step, check the version history for how many people have worked on the text.",3,enwiki:npov:23,0.275,Editors should prefer nonjudgmental language.
dewiki:npov:62,Whoever knows the topic sufficiently or has sources may rewrite or expand the article.,2,enwiki:npov:77,0.529,A biased source need not be used; excluding the material altogether may serve an article better.
dewiki:npov:62,Whoever knows the topic sufficiently or has sources may rewrite or expand the article.,3,enwiki:npov:28,0.488,"When editorial bias toward one point of view can be detected, the article needs to be fixed."
dewiki:npov:63,Disputed articles that are hard to rewrite may be tagged with the {{Neutralität}} template.,2,enwiki:npov:95,0.496,"Alternative names should be given due prominence within the article, with redirects created as appropriate."
dewiki:npov:63,Disputed articles that are hard to rewrite may be tagged with the {{Neutralität}} template.,3,enwiki:npov:77,0.488,A biased source need not be used; excluding the material altogether may serve an article better.
dewiki:npov:64,"If the article is protected due to an edit war, adding the template must be requested from the administrators.",2,enwiki:npov:54,0.380,"The due-weight rule applies not only to article text but to images, wikilinks, external links, categories, templates, and all other material."
dewiki:npov:64,"If the article is protected due to an edit war, adding the template must be requested from the administrators.",3,enwiki:npov:36,0.361,The internal structure of an article may require additional attention to protect neutrality and avoid problems like POV forking and undue weight.
dewiki:npov:65,As a last resort a deletion request may be filed; its text must justify why a revision is impossible or unreasonable.,2,enwiki:npov:32,0.427,Editors should generally not remove sourced information solely because it seems biased.
dewiki:npov:65,As a last resort a deletion request may be filed; its text must justify why a revision is impossible or unreasonable.,3,enwiki:npov:33,0.424,"Instead of removing biased-seeming sourced material, editors should try to rewrite the passage or section to achieve a more neutral tone."
