src_id,de_statement,EN1,EN1_text,EN2,EN2_text,EN3,EN3_text,verdict,prior_top1
dewiki:npov:11,All presented viewpoints must be attributable to a reliable source.,enwiki:npov:55 (0.602),"If a viewpoint is in the majority, it should be easy to substantiate with references to commonly accepted reference texts.",enwiki:npov:41 (0.553),Editors should watch for structural or stylistic aspects that make it difficult for a reader to fairly assess the credibility of all relevant viewpoints.,enwiki:npov:31 (0.546),Reporting of different views must adequately reflect their relative levels of support and must not give a false impression of parity or undue weight to a particular view.,1p,p
dewiki:npov:12,The views of the majority must be presented appropriately.,enwiki:npov:49 (0.732),The majority view should be explained sufficiently for the reader to understand how the minority view differs from it.,enwiki:npov:50 (0.632),Controversies regarding aspects of a minority view should be clearly identified and explained.,enwiki:npov:31 (0.631),Reporting of different views must adequately reflect their relative levels of support and must not give a false impression of parity or undue weight to a particular view.,1p,p
dewiki:npov:13,"The opinions of minorities must be given a voice, provided a reliable source can be found for them.",enwiki:npov:50 (0.534),Controversies regarding aspects of a minority view should be clearly identified and explained.,enwiki:npov:16 (0.522),"Significant opinions should not be stated in Wikipedia's voice but should be attributed in the text to particular sources, or where justified described as widespread views.",enwiki:npov:48 (0.520),In a minority-viewpoint article it should always be clear which parts of the text describe the minority view.,,n
dewiki:npov:14,The description shall have a neutral tone.,enwiki:npov:33 (0.488),"Instead of removing biased-seeming sourced material, editors should try to rewrite the passage or section to achieve a more neutral tone.",enwiki:npov:98 (0.446),A neutral characterization of disputes requires presenting viewpoints with a consistently impartial tone.,enwiki:npov:26 (0.438),Editors should present opinions and conflicting findings in a disinterested tone.,,n
dewiki:npov:15,The share of each viewpoint in the overall extent shall reflect its respective relevance.,enwiki:npov:46 (0.580),"In articles specifically about a minority viewpoint, that view may receive more attention and space.",enwiki:npov:47 (0.576),Minority-viewpoint articles must still appropriately reference the majority viewpoint wherever relevant and must not present content strictly from the minority view's perspective.,enwiki:npov:55 (0.547),"If a viewpoint is in the majority, it should be easy to substantiate with references to commonly accepted reference texts.",1p,p
dewiki:npov:16,Text should not be removed merely because it presents a dissenting opinion.,enwiki:npov:33 (0.594),"Instead of removing biased-seeming sourced material, editors should try to rewrite the passage or section to achieve a more neutral tone.",enwiki:npov:105 (0.570),Biased statements of opinion may be presented only with in-text attribution.,enwiki:npov:19 (0.569),Editors should avoid stating facts as opinions.,1p,p
dewiki:npov:17,"Text should, where applicable, be shortened or moved to a sub-article if an opinion would otherwise be given disproportionate weight.",enwiki:npov:67 (0.637),An article should not give undue weight to minor aspects of its subject but should treat each aspect with weight proportional to its treatment in reliable published material.,enwiki:npov:43 (0.597),Articles should not give minority views or aspects as much or as detailed a description as more widely held views.,enwiki:npov:89 (0.595),"All facts and significant points of view on a subject should be treated in one article, except in the case of a legitimate spinoff sub-article.",,n
dewiki:npov:18,Neutrality requires that viewpoints be presented in an unbiased manner.,enwiki:npov:61 (0.823),Neutrality assigns weight to viewpoints in proportion to their prominence in reliable sources.,enwiki:npov:42 (0.778),"Neutrality requires that mainspace articles fairly represent all significant viewpoints published by reliable sources, in proportion to each viewpoint's prominence in those sources.",enwiki:npov:10 (0.763),"Achieving neutrality requires carefully and critically analyzing a variety of reliable sources and conveying their information to the reader fairly, proportionately, and as far as possible without editorial bias.",,n
dewiki:npov:19,"It shall be made clear that disagreements exist, rather than pretending the sources are unbiased.",enwiki:npov:76 (0.620),"Neutrality should be achieved by balancing source bias according to the weight of opinion in reliable sources, not by excluding sources that do not conform to the editor's point of view.",enwiki:npov:18 (0.598),"When reliable sources make conflicting assertions about a matter, treat those assertions as opinions rather than facts and do not present them as direct statements in Wikipedia's voice.",enwiki:npov:75 (0.591),"Biased sources are not inherently disallowed on the basis of bias alone, though other aspects of a source may make it invalid.",,n
dewiki:npov:20,The factual basis of articles fundamentally derives from published information sources.,enwiki:npov:73 (0.657),"In principle, all articles should be based on reliable, independent, secondary published sources with a reputation for fact-checking and accuracy.",enwiki:npov:18 (0.547),"When reliable sources make conflicting assertions about a matter, treat those assertions as opinions rather than facts and do not present them as direct statements in Wikipedia's voice.",enwiki:npov:20 (0.547),Uncontested and uncontroversial factual assertions made by reliable sources should normally be stated directly in Wikipedia's voice.,1p,p
dewiki:npov:21,Presentations or viewpoints for which no reliable source exists constitute unwanted original research.,enwiki:npov:64 (0.506),"Minority views, fringe theories, and extraordinary claims need not be presented alongside mainstream scholarship as if they were of equal validity.",enwiki:npov:32 (0.505),Editors should generally not remove sourced information solely because it seems biased.,enwiki:npov:77 (0.495),A biased source need not be used; excluding the material altogether may serve an article better.,,n
dewiki:npov:22,A balanced article describes the subject of the entry and subsequently the differing viewpoints connected to it.,enwiki:npov:63 (0.658),Working for balance involves describing opposing views clearly and drawing on secondary or tertiary sources that describe the disagreement from a disinterested viewpoint.,enwiki:npov:47 (0.645),Minority-viewpoint articles must still appropriately reference the majority viewpoint wherever relevant and must not present content strictly from the minority view's perspective.,enwiki:npov:48 (0.643),In a minority-viewpoint article it should always be clear which parts of the text describe the minority view.,1p,p
dewiki:npov:23,Several different or contradictory viewpoints may be described in one article.,enwiki:npov:48 (0.603),In a minority-viewpoint article it should always be clear which parts of the text describe the minority view.,enwiki:npov:43 (0.584),Articles should not give minority views or aspects as much or as detailed a description as more widely held views.,enwiki:npov:47 (0.576),Minority-viewpoint articles must still appropriately reference the majority viewpoint wherever relevant and must not present content strictly from the minority view's perspective.,,n
dewiki:npov:24,The acceptance of the various presentations shall be clearly indicated.,enwiki:npov:37 (0.381),"Specific article structures are not as a rule prohibited, but care must be taken to ensure the overall presentation is broadly neutral.",enwiki:npov:72 (0.313),"An assumption need not be discussed on a page if it is best discussed in depth on another page, though a brief unobtrusive pointer or wikilink may be appropriate.",enwiki:npov:101 (0.311),"It is appropriate to note how an artist or work has been received by prominent experts, critics, and the general public.",,n
dewiki:npov:25,Appropriate presentation of the subject and arguments takes precedence over the aim of giving competing viewpoints equal extent.,enwiki:npov:98 (0.618),A neutral characterization of disputes requires presenting viewpoints with a consistently impartial tone.,enwiki:npov:47 (0.539),Minority-viewpoint articles must still appropriately reference the majority viewpoint wherever relevant and must not present content strictly from the minority view's perspective.,enwiki:npov:39 (0.530),Editors should fold debates into the narrative rather than isolating them into opposing sections.,,n
dewiki:npov:26,"Ideally, all known viewpoints currently held by relevant social groups, organizations, and authoritative scholars of a field are to be mentioned.",enwiki:npov:55 (0.659),"If a viewpoint is in the majority, it should be easy to substantiate with references to commonly accepted reference texts.",enwiki:npov:82 (0.557),An explanation of how experts in the relevant field have reacted to fringe or pseudoscientific views should be prominently included.,enwiki:npov:56 (0.546),"If a viewpoint is held by a significant minority, it should be easy to name prominent adherents.",,n
dewiki:npov:27,Scientific findings must not be relativized by the mere juxtaposition of different opinions.,enwiki:npov:78 (0.624),"When covering pseudoscientific topics, editors should not describe pseudoscience and scientific consensus as equal viewpoints.",enwiki:npov:79 (0.592),"Pseudoscience should not obfuscate the description of mainstream scientific views, even when it is significant to an article.",enwiki:npov:64 (0.557),"Minority views, fringe theories, and extraordinary claims need not be presented alongside mainstream scholarship as if they were of equal validity.",1y,y
dewiki:npov:28,"An encyclopedic article is to be written in a consistently factual-neutral, i.e. non-emotionally-colored, tone.",enwiki:npov:4 (0.677),All encyclopedic content on Wikipedia must be written from a neutral point of view.,enwiki:npov:102 (0.575),An article should not state an aesthetic judgment (e.g. that Shakespeare is the greatest author) in Wikipedia's voice.,enwiki:npov:99 (0.558),"The tone of Wikipedia articles should be impartial, neither endorsing nor rejecting a particular point of view.",1p,p
dewiki:npov:29,An encyclopedic article refrains from taking a position for or against viewpoints.,enwiki:npov:99 (0.604),"The tone of Wikipedia articles should be impartial, neither endorsing nor rejecting a particular point of view.",enwiki:npov:57 (0.594),"A viewpoint held by an extremely small minority does not belong on Wikipedia regardless of its truth or provability, except perhaps in an ancillary article.",enwiki:npov:43 (0.593),Articles should not give minority views or aspects as much or as detailed a description as more widely held views.,1y,y
dewiki:npov:30,"Viewpoints must be presented neither with undue emphasis, nor apodictically, nor with evasive phrasing.",enwiki:npov:24 (0.613),A neutral point of view neither sympathizes with nor disparages its subject or what reliable sources say about it.,enwiki:npov:52 (0.552),Views held by a tiny minority should not be represented except in articles devoted to those views.,enwiki:npov:31 (0.545),Reporting of different views must adequately reflect their relative levels of support and must not give a false impression of parity or undue weight to a particular view.,,
dewiki:npov:31,Personal interests must never determine the content of articles.,enwiki:npov:43 (0.554),Articles should not give minority views or aspects as much or as detailed a description as more widely held views.,enwiki:npov:12 (0.542),"The aim of a Wikipedia article is to inform, not to influence.",enwiki:npov:99 (0.526),"The tone of Wikipedia articles should be impartial, neither endorsing nor rejecting a particular point of view.",,
dewiki:npov:32,"Authors shall always act value-free and without partiality (""sine ira et studio"").",enwiki:npov:27 (0.463),Editors must not editorialize.,enwiki:npov:13 (0.440),Editors should strive in good faith to provide complete information and not to promote one particular point of view over another.,enwiki:npov:32 (0.403),Editors should generally not remove sourced information solely because it seems biased.,,
dewiki:npov:33,Obvious facts may be presented as such in articles.,enwiki:npov:89 (0.590),"All facts and significant points of view on a subject should be treated in one article, except in the case of a legitimate spinoff sub-article.",enwiki:npov:2 (0.589),"Articles should explain the sides, fairly and without editorial bias.",enwiki:npov:106 (0.571),A statement of opinion must not be asserted in Wikipedia as if it were a fact.,,
dewiki:npov:34,Value judgments must in every case be separated from generally accepted facts and marked as such.,enwiki:npov:98 (0.470),A neutral characterization of disputes requires presenting viewpoints with a consistently impartial tone.,enwiki:npov:31 (0.466),Reporting of different views must adequately reflect their relative levels of support and must not give a false impression of parity or undue weight to a particular view.,enwiki:npov:62 (0.462),"When reputable sources contradict one another and are relatively equal in prominence, editors should describe both points of view and work for balance.",,
dewiki:npov:35,Value judgments must be strictly attributed to the person making them.,enwiki:npov:107 (0.485),Opinions presented with attribution must still be verifiable and appropriately cited.,enwiki:npov:62 (0.484),"When reputable sources contradict one another and are relatively equal in prominence, editors should describe both points of view and work for balance.",enwiki:npov:75 (0.460),"Biased sources are not inherently disallowed on the basis of bias alone, though other aspects of a source may make it invalid.",,
dewiki:npov:36,Wikipedia authors shall never make value judgments themselves.,enwiki:npov:99 (0.660),"The tone of Wikipedia articles should be impartial, neither endorsing nor rejecting a particular point of view.",enwiki:npov:12 (0.581),"The aim of a Wikipedia article is to inform, not to influence.",enwiki:npov:51 (0.566),Wikipedia should not present a dispute as if a small-minority view is as significant as the majority view.,,
dewiki:npov:37,Especially for controversial topics it is important to attribute viewpoints.,enwiki:npov:47 (0.604),Minority-viewpoint articles must still appropriately reference the majority viewpoint wherever relevant and must not present content strictly from the minority view's perspective.,enwiki:npov:55 (0.589),"If a viewpoint is in the majority, it should be easy to substantiate with references to commonly accepted reference texts.",enwiki:npov:30 (0.587),Editors should indicate the relative prominence of opposing views.,,
dewiki:npov:38,Particularly pointed opinions may be quoted verbatim.,enwiki:npov:16 (0.602),"Significant opinions should not be stated in Wikipedia's voice but should be attributed in the text to particular sources, or where justified described as widespread views.",enwiki:npov:55 (0.565),"If a viewpoint is in the majority, it should be easy to substantiate with references to commonly accepted reference texts.",enwiki:npov:105 (0.548),Biased statements of opinion may be presented only with in-text attribution.,,
dewiki:npov:39,Opinions are to be reproduced exactly and placed into their respective context.,enwiki:npov:107 (0.569),Opinions presented with attribution must still be verifiable and appropriately cited.,enwiki:npov:16 (0.568),"Significant opinions should not be stated in Wikipedia's voice but should be attributed in the text to particular sources, or where justified described as widespread views.",enwiki:npov:19 (0.534),Editors should avoid stating facts as opinions.,,
dewiki:npov:40,All authoritative viewpoints must be represented; no hidden value judgment through selection or weighting of individual viewpoints.,enwiki:npov:31 (0.596),Reporting of different views must adequately reflect their relative levels of support and must not give a false impression of parity or undue weight to a particular view.,enwiki:npov:61 (0.565),Neutrality assigns weight to viewpoints in proportion to their prominence in reliable sources.,enwiki:npov:55 (0.563),"If a viewpoint is in the majority, it should be easy to substantiate with references to commonly accepted reference texts.",,
dewiki:npov:41,Significant evaluations must be presented in a balanced manner.,enwiki:npov:31 (0.505),Reporting of different views must adequately reflect their relative levels of support and must not give a false impression of parity or undue weight to a particular view.,enwiki:npov:62 (0.503),"When reputable sources contradict one another and are relatively equal in prominence, editors should describe both points of view and work for balance.",enwiki:npov:63 (0.472),Working for balance involves describing opposing views clearly and drawing on secondary or tertiary sources that describe the disagreement from a disinterested viewpoint.,,
dewiki:npov:42,No (implicit) evaluation may be made through word choice.,enwiki:npov:25 (0.414),The preference for nonjudgmental language must sometimes be balanced against clarity.,enwiki:npov:86 (0.367),Editors should not avoid terminology established by the majority of reliable sources out of sympathy for a point of view or fear that readers may confuse formal and informal meanings.,enwiki:npov:105 (0.362),Biased statements of opinion may be presented only with in-text attribution.,,
dewiki:npov:43,"Authors should not, in the style of an essay, argumentatively lay out their own viewpoint.",enwiki:npov:41 (0.532),Editors should watch for structural or stylistic aspects that make it difficult for a reader to fairly assess the credibility of all relevant viewpoints.,enwiki:npov:100 (0.532),"Editors should avoid quoting directly from participants in a heated dispute and instead summarize and present the arguments in an impartial, formal tone.",enwiki:npov:19 (0.513),Editors should avoid stating facts as opinions.,,
dewiki:npov:44,Separating arguments into pro/con lists is not a suitable form of presentation.,enwiki:npov:100 (0.401),"Editors should avoid quoting directly from participants in a heated dispute and instead summarize and present the arguments in an impartial, formal tone.",enwiki:npov:37 (0.370),"Specific article structures are not as a rule prohibited, but care must be taken to ensure the overall presentation is broadly neutral.",enwiki:npov:98 (0.364),A neutral characterization of disputes requires presenting viewpoints with a consistently impartial tone.,,
dewiki:npov:45,"Self-promotion by authorities, institutions, parties, companies, persons, etc. aimed merely at external image is expressly unwanted.",enwiki:npov:12 (0.325),"The aim of a Wikipedia article is to inform, not to influence.",enwiki:npov:13 (0.322),Editors should strive in good faith to provide complete information and not to promote one particular point of view over another.,enwiki:npov:30 (0.290),Editors should indicate the relative prominence of opposing views.,,
dewiki:npov:46,"Likewise unwanted are presentations aimed at damaging third parties' reputations through false claims, rumors, speculation, or distorting quote selection.",enwiki:npov:112 (0.506),"Editors should strive to eliminate expressions that are flattering, disparaging, vague, clichéd, or that endorse a particular point of view, unless part of a quote from a noteworthy source.",enwiki:npov:32 (0.459),Editors should generally not remove sourced information solely because it seems biased.,enwiki:npov:100 (0.456),"Editors should avoid quoting directly from participants in a heated dispute and instead summarize and present the arguments in an impartial, formal tone.",,
dewiki:npov:47,Such behavior can be sanctioned with a block.,enwiki:npov:37 (0.356),"Specific article structures are not as a rule prohibited, but care must be taken to ensure the overall presentation is broadly neutral.",enwiki:npov:36 (0.345),The internal structure of an article may require additional attention to protect neutrality and avoid problems like POV forking and undue weight.,enwiki:npov:8 (0.332),The three core content policies cannot be interpreted in isolation from one another.,,
dewiki:npov:48,A dissenting stance held by only a few must not be presented at the same extent as established positions.,enwiki:npov:52 (0.563),Views held by a tiny minority should not be represented except in articles devoted to those views.,enwiki:npov:31 (0.512),Reporting of different views must adequately reflect their relative levels of support and must not give a false impression of parity or undue weight to a particular view.,enwiki:npov:64 (0.500),"Minority views, fringe theories, and extraordinary claims need not be presented alongside mainstream scholarship as if they were of equal validity.",,
dewiki:npov:49,"When minority opinions have historical weight through frequent public discussion, they are to be mentioned to an appropriate extent.",enwiki:npov:50 (0.639),Controversies regarding aspects of a minority view should be clearly identified and explained.,enwiki:npov:56 (0.613),"If a viewpoint is held by a significant minority, it should be easy to name prominent adherents.",enwiki:npov:16 (0.611),"Significant opinions should not be stated in Wikipedia's voice but should be attributed in the text to particular sources, or where justified described as widespread views.",,
dewiki:npov:50,Even a single word can destroy factuality and turn a sentence into a tendentious statement.,enwiki:npov:111 (0.524),"Editors should try to state facts simply, without using loaded words that imply doubt.",enwiki:npov:17 (0.493),Editors should avoid stating seriously contested assertions as facts.,enwiki:npov:108 (0.490),Editors should avoid rephrasing biased or opinion statements with weasel words.,,
dewiki:npov:51,"Relative words like ""well-known"", ""famous"", ""significant"" should be used comprehensibly and purposefully, not promotionally or as filler.",enwiki:npov:92 (0.477),A name widely used in reliable sources and likely to be well recognized by readers may be used even if some regard it as biased.,enwiki:npov:16 (0.449),"Significant opinions should not be stated in Wikipedia's voice but should be attributed in the text to particular sources, or where justified described as widespread views.",enwiki:npov:101 (0.436),"It is appropriate to note how an artist or work has been received by prominent experts, critics, and the general public.",,
dewiki:npov:52,"The article should make clear for what and among which audience the subject is well-known, famous, significant, etc.",enwiki:npov:68 (0.687),"In addition to describing why a subject is notable, encyclopedia articles should place the subject in context.",enwiki:npov:89 (0.590),"All facts and significant points of view on a subject should be treated in one article, except in the case of a legitimate spinoff sub-article.",enwiki:npov:69 (0.565),"An article about a person should always indicate, at least generally, when and where they lived.",,
dewiki:npov:53,"Labeling linguistic expressions as ""wrong"" violates the neutral point of view.",enwiki:npov:86 (0.500),Editors should not avoid terminology established by the majority of reliable sources out of sympathy for a point of view or fear that readers may confuse formal and informal meanings.,enwiki:npov:108 (0.464),Editors should avoid rephrasing biased or opinion statements with weasel words.,enwiki:npov:24 (0.455),A neutral point of view neither sympathizes with nor disparages its subject or what reliable sources say about it.,,
dewiki:npov:54,"Labels such as ""colloquial"" or ""outdated"" must not be assigned at one's own discretion but require backing by linguistic scholarly literature.",enwiki:npov:92 (0.509),A name widely used in reliable sources and likely to be well recognized by readers may be used even if some regard it as biased.,enwiki:npov:86 (0.501),Editors should not avoid terminology established by the majority of reliable sources out of sympathy for a point of view or fear that readers may confuse formal and informal meanings.,enwiki:npov:55 (0.458),"If a viewpoint is in the majority, it should be easy to substantiate with references to commonly accepted reference texts.",,
dewiki:npov:55,"It is advisable to first present the undisputed aspects and then, in a separate section, the reception from the perspective of relevant actors.",enwiki:npov:41 (0.530),Editors should watch for structural or stylistic aspects that make it difficult for a reader to fairly assess the credibility of all relevant viewpoints.,enwiki:npov:40 (0.507),"Editors should attend to headers, footnotes, and other formatting elements that might unduly favor one point of view or aspect of the subject.",enwiki:npov:101 (0.504),"It is appropriate to note how an artist or work has been received by prominent experts, critics, and the general public.",,
dewiki:npov:56,The reception section should encompass not only negative assessments but all relevant voices.,enwiki:npov:31 (0.437),Reporting of different views must adequately reflect their relative levels of support and must not give a false impression of parity or undue weight to a particular view.,enwiki:npov:33 (0.432),"Instead of removing biased-seeming sourced material, editors should try to rewrite the passage or section to achieve a more neutral tone.",enwiki:npov:24 (0.428),A neutral point of view neither sympathizes with nor disparages its subject or what reliable sources say about it.,,
dewiki:npov:57,Whoever cites a statistic should always add a source reference.,enwiki:npov:77 (0.466),A biased source need not be used; excluding the material altogether may serve an article better.,enwiki:npov:55 (0.452),"If a viewpoint is in the majority, it should be easy to substantiate with references to commonly accepted reference texts.",enwiki:npov:29 (0.444),The only bias that should be evident in an article is bias attributed to the source.,,
dewiki:npov:58,An article is not made more neutral by shortening the opposing viewpoint.,enwiki:npov:1 (0.651),Articles must not take sides.,enwiki:npov:2 (0.646),"Articles should explain the sides, fairly and without editorial bias.",enwiki:npov:42 (0.631),"Neutrality requires that mainspace articles fairly represent all significant viewpoints published by reliable sources, in proportion to each viewpoint's prominence in those sources.",,
dewiki:npov:59,"Instead, one should work toward better substantiating and elaborating the inadequately explained viewpoint.",enwiki:npov:49 (0.518),The majority view should be explained sufficiently for the reader to understand how the minority view differs from it.,enwiki:npov:30 (0.515),Editors should indicate the relative prominence of opposing views.,enwiki:npov:62 (0.498),"When reputable sources contradict one another and are relatively equal in prominence, editors should describe both points of view and work for balance.",,
dewiki:npov:60,Particularly vulnerable and disputed articles should be listed on the watchlist candidates page.,enwiki:npov:77 (0.468),A biased source need not be used; excluding the material altogether may serve an article better.,enwiki:npov:2 (0.466),"Articles should explain the sides, fairly and without editorial bias.",enwiki:npov:73 (0.438),"In principle, all articles should be based on reliable, independent, secondary published sources with a reputation for fact-checking and accuracy.",,
dewiki:npov:61,"As a first step, check the version history for how many people have worked on the text.",enwiki:npov:40 (0.304),"Editors should attend to headers, footnotes, and other formatting elements that might unduly favor one point of view or aspect of the subject.",enwiki:npov:33 (0.280),"Instead of removing biased-seeming sourced material, editors should try to rewrite the passage or section to achieve a more neutral tone.",enwiki:npov:23 (0.275),Editors should prefer nonjudgmental language.,,
dewiki:npov:62,Whoever knows the topic sufficiently or has sources may rewrite or expand the article.,enwiki:npov:2 (0.535),"Articles should explain the sides, fairly and without editorial bias.",enwiki:npov:77 (0.529),A biased source need not be used; excluding the material altogether may serve an article better.,enwiki:npov:28 (0.488),"When editorial bias toward one point of view can be detected, the article needs to be fixed.",,
dewiki:npov:63,Disputed articles that are hard to rewrite may be tagged with the {{Neutralität}} template.,enwiki:npov:37 (0.498),"Specific article structures are not as a rule prohibited, but care must be taken to ensure the overall presentation is broadly neutral.",enwiki:npov:95 (0.496),"Alternative names should be given due prominence within the article, with redirects created as appropriate.",enwiki:npov:77 (0.488),A biased source need not be used; excluding the material altogether may serve an article better.,,
dewiki:npov:64,"If the article is protected due to an edit war, adding the template must be requested from the administrators.",enwiki:npov:37 (0.414),"Specific article structures are not as a rule prohibited, but care must be taken to ensure the overall presentation is broadly neutral.",enwiki:npov:54 (0.380),"The due-weight rule applies not only to article text but to images, wikilinks, external links, categories, templates, and all other material.",enwiki:npov:36 (0.361),The internal structure of an article may require additional attention to protect neutrality and avoid problems like POV forking and undue weight.,,
dewiki:npov:65,As a last resort a deletion request may be filed; its text must justify why a revision is impossible or unreasonable.,enwiki:npov:35 (0.603),Editors may remove material when they have good reason to believe it misinforms or misleads readers in ways that cannot be addressed by rewriting.,enwiki:npov:32 (0.427),Editors should generally not remove sourced information solely because it seems biased.,enwiki:npov:33 (0.424),"Instead of removing biased-seeming sourced material, editors should try to rewrite the passage or section to achieve a more neutral tone.",,
