src_id,de_statement,en_best_match,score,equivalent?
dewiki:npov:56,The reception section should encompass not only negative assessments but all relevant voices.,Reporting of different views must adequately reflect their relative levels of support and must not give a false impression of parity or undue weight to a particular view.,0.437,
dewiki:npov:57,Whoever cites a statistic should always add a source reference.,A biased source need not be used; excluding the material altogether may serve an article better.,0.466,
dewiki:npov:58,An article is not made more neutral by shortening the opposing viewpoint.,Articles must not take sides.,0.651,
dewiki:npov:59,"Instead, one should work toward better substantiating and elaborating the inadequately explained viewpoint.",The majority view should be explained sufficiently for the reader to understand how the minority view differs from it.,0.518,
dewiki:npov:60,Particularly vulnerable and disputed articles should be listed on the watchlist candidates page.,A biased source need not be used; excluding the material altogether may serve an article better.,0.468,
dewiki:npov:61,"As a first step, check the version history for how many people have worked on the text.","Editors should attend to headers, footnotes, and other formatting elements that might unduly favor one point of view or aspect of the subject.",0.304,
dewiki:npov:62,Whoever knows the topic sufficiently or has sources may rewrite or expand the article.,"Articles should explain the sides, fairly and without editorial bias.",0.535,
dewiki:npov:63,Disputed articles that are hard to rewrite may be tagged with the {{Neutralität}} template.,"Specific article structures are not as a rule prohibited, but care must be taken to ensure the overall presentation is broadly neutral.",0.498,
dewiki:npov:64,"If the article is protected due to an edit war, adding the template must be requested from the administrators.","Specific article structures are not as a rule prohibited, but care must be taken to ensure the overall presentation is broadly neutral.",0.414,
dewiki:npov:65,As a last resort a deletion request may be filed; its text must justify why a revision is impossible or unreasonable.,Editors may remove material when they have good reason to believe it misinforms or misleads readers in ways that cannot be addressed by rewriting.,0.603,
