statement_id,wiki,page,segment_type,prominence,deontic_type,governance_class,source_quote,statement_orig,statement_en,note
dewiki:drittemeinung:14,dewiki,Wikipedia:Dritte Meinung,rule,supporting,obligation,content,"Mit einem kurzen, prägnanten Text (zwei bis drei Sätze) lässt sich eher eine Dritte Meinung finden, längere Ausführungen ... sind hier kontraproduktiv.",Die Konfliktbeschreibung soll kurz und prägnant sein (zwei bis drei Sätze); längere Ausführungen gehören in die Diskussion und sind hier kontraproduktiv.,The description should be short and concise (two to three sentences); longer expositions belong in the discussion and are counterproductive here.,
dewiki:drittemeinung:15,dewiki,Wikipedia:Dritte Meinung,procedure,central,obligation,content,Deine Signatur (--~~~~),Ein Diskussionshinweis muss die Signatur des Anfragenden (--~~~~) enthalten.,A notice must include the requester's signature (--~~~~).,
dewiki:drittemeinung:16,dewiki,Wikipedia:Dritte Meinung,rule,supporting,obligation,content,"Denke bitte möglichst daran, den Diskussionshinweis später der Archivierung ... zuzuführen, wenn er sich erledigt hat.","Der Anfragende sollte den Diskussionshinweis später der Archivierung zuführen, wenn er sich erledigt hat.",The requester should later send the notice to archiving once it is resolved.,
dewiki:drittemeinung:17,dewiki,Wikipedia:Dritte Meinung,rule,supporting,permission,user-user,"Wenn du eine Konfliktbeschreibung siehst, die dir tendenziös erscheint, kannst du als Beteiligter eine einzige Gegendarstellung hinzufügen.",Ein am Konflikt Beteiligter kann bei einer ihm tendenziös erscheinenden Konfliktbeschreibung genau eine Gegendarstellung hinzufügen.,A party to the conflict may add exactly one counter-statement if a conflict description seems biased to them.,quantity limit: 'eine einzige'
dewiki:drittemeinung:18,dewiki,Wikipedia:Dritte Meinung,rule,central,obligation,user-user,"Lies die gesamte Diskussion zum Thema und die Argumente der Beteiligten, bevor du antwortest.","Wer eine dritte Meinung anbietet, soll die gesamte Diskussion und die Argumente der Beteiligten lesen, bevor er antwortet.",Whoever offers a third opinion should read the entire discussion and the parties' arguments before responding.,
dewiki:drittemeinung:19,dewiki,Wikipedia:Dritte Meinung,rule,central,condition,user-user,"Biete deine Meinung nicht leichtfertig an, sondern nur, wenn du etwas Konstruktives beitragen kannst.","Man soll eine dritte Meinung nur anbieten, wenn man etwas Konstruktives beitragen kann, nicht leichtfertig.","One should offer a third opinion only when one can contribute something constructive, not casually.",
dewiki:drittemeinung:20,dewiki,Wikipedia:Dritte Meinung,rule,supporting,principle,user-user,Unbegründete Stellungnahmen oder Wiederholungen der Argumente anderer sind nicht hilfreich.,Unbegründete Stellungnahmen oder Wiederholungen der Argumente anderer sind nicht hilfreich.,Unfounded statements or repetitions of others' arguments are not helpful.,
dewiki:drittemeinung:21,dewiki,Wikipedia:Dritte Meinung,rule,central,eligibility,user-user,Deine Haltung sowohl zum Konfliktthema als auch zu den beteiligten Benutzern muss neutral sein.,"Wer eine dritte Meinung abgibt, muss dem Konfliktthema und den beteiligten Benutzern gegenüber neutral sein.",Whoever gives a third opinion must be neutral toward both the conflict topic and the involved users.,hard 'muss' eligibility
dewiki:drittemeinung:22,dewiki,Wikipedia:Dritte Meinung,rule,central,eligibility,user-user,"Du solltest vorher nicht in diesen Konflikt, in Konflikte verwandter Themengebiete oder in Konflikte mit den beteiligten Benutzern verwickelt gewesen sein.","Man sollte vorher nicht in diesen Konflikt, in Konflikte verwandter Themengebiete oder in Konflikte mit den beteiligten Benutzern verwickelt gewesen sein.","One should not previously have been involved in this conflict, in conflicts of related topic areas, or in conflicts with the involved users.",
dewiki:drittemeinung:23,dewiki,Wikipedia:Dritte Meinung,rule,central,obligation,user-user,"Geh von guten Absichten aus und formuliere deine Meinung sachlich, freundlich und ohne persönliche Angriffe.","Man soll von guten Absichten ausgehen und seine Meinung sachlich, freundlich und ohne persönliche Angriffe formulieren.","Assume good faith and phrase your opinion factually, kindly, and without personal attacks.",
dewiki:drittemeinung:24,dewiki,Wikipedia:Dritte Meinung,rule,supporting,principle,user-user,Deine Aufgabe ist neben dem inhaltlichen Lösen vor allem das Deeskalieren und Vermitteln.,Die Aufgabe des Meinungsgebers ist neben dem inhaltlichen Lösen vor allem Deeskalation und Vermittlung.,"The opinion-giver's task is, besides substantive resolution, above all de-escalation and mediation.",
dewiki:drittemeinung:25,dewiki,Wikipedia:Dritte Meinung,rule,supporting,permission,user-user,"Um Missverständnisse zu vermeiden, empfiehlt es sich, auf der Diskussionsseite zu dem Eintrag auf dieser Seite zu verlinken","Um Missverständnisse zu vermeiden, empfiehlt es sich, auf der Diskussionsseite auf den Eintrag hier zu verlinken, da WP:Dritte Meinung nicht allen Beteiligten bekannt ist.","To avoid misunderstandings, it is advisable to link from the talk page to the entry here, since WP:Third Opinion is not known to all parties.",
dewiki:drittemeinung:26,dewiki,Wikipedia:Dritte Meinung,rule,supporting,permission,user-user,Am besten eignet sich dafür ein Permanentlink,"Für die Verlinkung eignet sich am besten ein Permanentlink, um Angebot und ursprüngliche Anfrage auch nach der Archivierung nachvollziehbar zu machen.","A permanent link is best suited for this, so that the offer and original request remain traceable even after archiving.",
dewiki:drittemeinung:27,dewiki,Wikipedia:Dritte Meinung,procedure,central,principle,content,"Diese Seite soll trotz einer Vielzahl von Diskussionshinweisen übersichtlich bleiben, deshalb werden Verweise auf gelöste oder eingeschlafene Diskussionen archiviert.",Die Seite soll übersichtlich bleiben; deshalb werden Verweise auf gelöste oder eingeschlafene Diskussionen archiviert.,The page should stay clear; therefore references to resolved or dormant discussions are archived.,
dewiki:drittemeinung:28,dewiki,Wikipedia:Dritte Meinung,procedure,central,obligation,content,Füge dazu ans Ende des betreffenden Abschnitts den Erledigt-Baustein ein: {{Erledigt|1=~~~~|2=gelöst}},Zum Archivieren ist am Ende des betreffenden Abschnitts der Erledigt-Baustein einzufügen.,"To archive, insert the 'Erledigt' (done) template at the end of the section concerned.",
dewiki:drittemeinung:29,dewiki,Wikipedia:Dritte Meinung,procedure,supporting,condition,content,{{Erledigt|1=~~~~|2=gelöst}} Der Konflikt ist deiner Meinung nach gelöst (Konsens über die Streitfrage).,"Der Parameter 'gelöst' ist zu verwenden, wenn der Konflikt gelöst ist (Konsens über die Streitfrage).",The 'gelöst' (resolved) parameter is used when the conflict is resolved (consensus on the disputed question).,
dewiki:drittemeinung:30,dewiki,Wikipedia:Dritte Meinung,procedure,supporting,condition,content,{{Erledigt|1=~~~~|2=keinebeiträge}} ... schon dritte Meinungen abgegeben und die Diskussion ist eingeschlafen (mehr als 10 Tage keine Beiträge).,"Der Parameter 'keinebeiträge' ist zu verwenden, wenn dritte Meinungen abgegeben wurden und die Diskussion seit mehr als 10 Tagen eingeschlafen ist.",The 'keinebeiträge' (no contributions) parameter is used when third opinions were given and the discussion has been dormant for more than 10 days.,
dewiki:drittemeinung:31,dewiki,Wikipedia:Dritte Meinung,procedure,supporting,condition,content,{{Erledigt|1=~~~~|2= }} Die Anfrage kann aus anderen Gründen als erledigt betrachtet werden ... bitte jeweils den konkreten Grund eintragen.,"Der leere Parameter ist zu verwenden, wenn die Anfrage aus anderen Gründen erledigt ist (z. B. Artikel gelöscht); der konkrete Grund ist jeweils einzutragen.",The empty parameter is used when the request is done for other reasons (e.g. article deleted); the specific reason must each be entered.,
dewiki:drittemeinung:32,dewiki,Wikipedia:Dritte Meinung,rule,supporting,permission,content,"Ein Baustein kann problemlos wieder entfernt werden, wenn ein Beteiligter einen Konflikt als ungelöst ansieht ...","Ein Erledigt-Baustein kann wieder entfernt werden, wenn ein Beteiligter den Konflikt als ungelöst ansieht, neue Beiträge die Diskussion wiederbelebt haben oder die Erledigung aus gutem Grund nicht gültig ist.","An Erledigt template may be removed again if a party considers the conflict unresolved, new contributions have revived the discussion, or the resolution is for good reason not valid.",
dewiki:drittemeinung:33,dewiki,Wikipedia:Dritte Meinung,procedure,central,condition,content,Markierte Abschnitte werden frühestens nach zwei Tagen ohne Widerspruch vom SpBot ins Archiv verschoben.,Markierte Abschnitte werden frühestens nach zwei Tagen ohne Widerspruch vom SpBot ins Archiv verschoben.,Marked sections are moved to the archive by SpBot no earlier than two days without objection.,
dewiki:drittemeinung:34,dewiki,Wikipedia:Dritte Meinung,rule,supporting,permission,content,Ein ungelöster Konflikt zum gleichen Thema kann auch erneut hier eingetragen werden (bitte mit Verweis auf die vorhergehende Anfrage).,"Ein ungelöster Konflikt zum gleichen Thema kann erneut hier eingetragen werden, dann mit Verweis auf die vorhergehende Anfrage.","An unresolved conflict on the same topic may be entered here again, then with a reference to the previous request.",
dewiki:drittemeinung:35,dewiki,Wikipedia:Dritte Meinung,meta,context,condition,content,"Auf dieser Seite werden Abschnitte ab Überschriftenebene 2 automatisch archiviert, die seit 2 Tagen mit dem Baustein {{Erledigt|1=--~~~~}} versehen sind.","Abschnitte ab Überschriftenebene 2, die seit 2 Tagen mit dem Erledigt-Baustein versehen sind, werden automatisch archiviert.",Sections from heading level 2 that have carried the Erledigt template for 2 days are archived automatically.,config/meta box
