statement_id,wiki,page_id,revid,language,segment_type,deontic_type,governance_class,source_quote,statement_orig,statement_en,note,location,salience
nlwiki:75512:11,nlwiki,75512,71301286,nl,rule,eligibility,user-admin,"Stemmen mag iedere gebruiker met bewerkingsrechten op de stempagina, die voldoet aan de volgende twee voorwaarden",Een gebruiker met bewerkingsrechten op de stempagina is stemgerechtigd als hij of zij aan de twee voorwaarden voldoet.,A user with edit rights on the vote page is eligible to vote if they meet the two conditions.,base eligibility,Art.3 stemgerechtigd,normal
nlwiki:75512:12,nlwiki,75512,71301286,nl,rule,eligibility,user-admin,hij of zij heeft (minstens) twee weken voor het begin van de stemming zijn eerste bewerking gedaan als aangemelde gebruiker,Een gebruiker is stemgerechtigd als zijn of haar eerste bewerking als aangemelde gebruiker minstens twee weken voor het begin van de stemming is gedaan.,A user is eligible to vote only if their first edit as a registered account was made at least two weeks before the vote starts.,== SG:1,Art.3 stemgerechtigd,normal
nlwiki:75512:13,nlwiki,75512,71301286,nl,rule,eligibility,user-admin,hij of zij had meer dan 100 bewerkingen (geen vandalisme) gedaan voordat het stemvoorstel ... gezet werd,Een gebruiker is stemgerechtigd als hij of zij meer dan 100 niet-vandalistische bewerkingen heeft gedaan voordat het stemvoorstel werd geplaatst.,A user is eligible to vote only if they made more than 100 non-vandalism edits before the voting proposal was posted.,== SG:2,Art.3 stemgerechtigd,normal
nlwiki:75512:14,nlwiki,75512,71301286,nl,procedure,procedure,user-admin,De stemming duurt minimaal twee weken,Een stemming duurt minimaal twee weken.,A vote lasts at least two weeks.,,Art.4 verloop,normal
nlwiki:75512:15,nlwiki,75512,71301286,nl,procedure,procedure,user-admin,"Stemmen geschiedt door bij ""voor"" of ""tegen"" een stem te plaatsen",Stemmen gebeurt door een ondertekende stem bij voor of tegen te plaatsen.,Voting is done by placing a signed vote under 'voor' or 'tegen'.,,Art.4 verloop,normal
nlwiki:75512:16,nlwiki,75512,71301286,nl,procedure,permission,user-admin,"Gedurende de stemperiode mag een gebruiker van stem wisselen, zo vaak als deze wil",Een gebruiker mag tijdens de stemperiode onbeperkt van stem wisselen.,During the voting period a user may change their vote as often as they wish.,,Art.4 verloop,normal
nlwiki:75512:17,nlwiki,75512,71301286,nl,rule,condition,user-admin,Gebruikers die neutraal ... Dit telt niet mee voor de uitslag,Een neutrale stem telt niet mee voor de uitslag.,A neutral vote does not count toward the result.,,Art.4 verloop,normal
nlwiki:75512:18,nlwiki,75512,71301286,nl,rule,condition,user-admin,de steun heeft van minstens 20 geldige stemmen,Een voorstel wordt alleen aangenomen als het minstens 20 geldige stemmen heeft.,A proposal is accepted only if it has at least 20 valid votes.,joint with :19,Art.5 uitslag,normal
nlwiki:75512:19,nlwiki,75512,71301286,nl,rule,condition,user-admin,minimaal 55% van het totale aantal geldige stemmen behaald heeft,Een voorstel wordt alleen aangenomen als het minimaal 55% van de geldige stemmen behaalt.,A proposal is accepted only if it reaches at least 55% of valid votes.,joint with :18,Art.5 uitslag,normal
nlwiki:75512:20,nlwiki,75512,71301286,nl,procedure,obligation,user-admin,vat de stemcoordinator de uitslag samen in het stemlokaal,De stemcoordinator vat na afloop de uitslag samen in het stemlokaal.,"After the vote, the coordinator summarizes the result in the Stemlokaal.",,Art.6 nasleep,normal
nlwiki:75512:21,nlwiki,75512,71301286,nl,procedure,procedure,user-admin,De Wikipedia-gemeenschap heeft dan nog een week de tijd om over eventuele problemen ... te overleggen,De gemeenschap heeft daarna een week om problemen rond de stemming te bespreken.,The community then has one week to discuss any problems with the vote.,,Art.6 nasleep,normal
nlwiki:75512:22,nlwiki,75512,71301286,nl,rule,condition,user-admin,Als er geen problemen ... blijken te zijn dan wordt de uitslag ... als bindend beschouwd,"Als er geen problemen blijken te zijn, wordt de uitslag als bindend beschouwd.","If no problems appear, the result is considered binding.",,Art.6 nasleep,normal
nlwiki:75512:23,nlwiki,75512,71301286,nl,procedure,obligation,user-admin,De stemcoordinator dient ... een samenvatting van de uitslag ... op Wikipedia:Archief peilingen en stemmingen te plaatsen,De stemcoordinator plaatst een samenvatting van de uitslag op Wikipedia:Archief peilingen en stemmingen.,The coordinator places a summary of the result on Wikipedia:Archief peilingen en stemmingen.,,Art.6 nasleep,normal
nlwiki:75512:24,nlwiki,75512,71301286,nl,rule,prohibition,user-admin,"Over hetzelfde onderwerp mag niet binnen redelijke termijn (6 maanden) opnieuw een stemming gehouden worden, tenzij ...","Over hetzelfde onderwerp mag niet binnen 6 maanden opnieuw worden gestemd, tenzij software of wetgeving nieuwe mogelijkheden biedt.","The same topic may not be voted on again within 6 months, unless software or legislation offers new possibilities.",prohibition + exception,Art.6 nasleep,normal
nlwiki:75512:25,nlwiki,75512,71301286,nl,rule,definition,user-admin,Wikipedia ... waarin in principe niemand de baas is en er zo veel mogelijk gezocht wordt naar consensus,Op Wikipedia is in principe niemand de baas.,"On Wikipedia, in principle no one is in charge.",foundational governance principle (lead); recovered from over-exclusion,lead,low
